timestamp,can_id,data
"2025-08-27T13-59-18.088+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.095+05:30","0x49","0x14 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.101+05:30","0x18F","0x00 0xFF 0xF8 0x00 0x00 0xFF 0x1F 0x00"
"2025-08-27T13-59-18.109+05:30","0x314","0x00 0x01 0x68 0x01 0xC2 0x00 0x00 0x00"
"2025-08-27T13-59-18.116+05:30","0x3C2","0x7F 0xFF 0xFF 0xFF 0xC8 0xCA 0xB5 0x16"
"2025-08-27T13-59-18.124+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.131+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.137+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-18.145+05:30","0x161","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.152+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.160+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.167+05:30","0x43","0x00 0x01 0xFD 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.174+05:30","0x41","0x00 0x80 0x00 0x08 0x02 0x1C 0x00 0x00"
"2025-08-27T13-59-18.181+05:30","0x49","0x00 0x30 0x00 0x01 0xFF 0x03 0xFF 0x7F"
"2025-08-27T13-59-18.188+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.195+05:30","0x3C2","0x7F 0xFF 0xFF 0xFE 0xC8 0xCA 0xB5 0x16"
"2025-08-27T13-59-18.202+05:30","0x26","0x4E 0x20 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.209+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.217+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.232+05:30","0x162","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.239+05:30","0x22F","0x00 0x00 0x00"
"2025-08-27T13-59-18.251+05:30","0x18DE1E00","0x48 0x56 0x41 0x50 0x45 0x4C 0x46 0x01"
"2025-08-27T13-59-18.258+05:30","0x21","0x00 0x00 0x00 0x00 0x81 0xE2 0x00 0x00"
"2025-08-27T13-59-18.265+05:30","0x23","0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00"
"2025-08-27T13-59-18.272+05:30","0x49","0x01 0x00 0x00 0x00 0x08 0x00 0x40 0x40"
